episode_id,folder,path,n_frames,n_engaged,engaged_frac,duration_s,success,seed,mode,color_bin_mapping,has_intent,gaze_valid_frac,gaze_valid_engaged,has_state,cameras,has_images,n_objects,n_bins,rate_hz,image_scale,schema_version,error
000,000,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\000\episode.hdf5,2529,1543,0.61,84.267,success,176863867,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.993,0.988,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
001,001,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\001\episode.hdf5,2417,2328,0.963,80.533,success,1619852002,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.982,0.982,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
002,002,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\002\episode.hdf5,2197,2090,0.951,73.2,success,590274676,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.99,0.989,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
003,003,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\003\episode.hdf5,2689,2573,0.957,89.6,success,987065379,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.985,0.986,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
004,004,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\004\episode.hdf5,2356,2243,0.952,78.5,success,1199920870,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.983,0.982,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
005,005,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\005\episode.hdf5,2522,2241,0.889,84.033,failure,1800210006,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.983,0.984,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
006,006,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\006\episode.hdf5,1956,1890,0.966,65.167,success,762570008,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.96,0.964,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
007,007,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\007\episode.hdf5,2283,2079,0.911,76.067,success,791116180,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.986,0.985,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
008,008,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\008\episode.hdf5,2221,2161,0.973,74.0,success,337565721,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.97,0.971,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
009,009,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\009\episode.hdf5,2162,2059,0.952,72.033,success,1363347022,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.956,0.954,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
010,010,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\010\episode.hdf5,1930,1881,0.975,64.3,success,1758365096,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.982,0.983,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
011,011,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\011\episode.hdf5,2470,2216,0.897,82.3,success,212593775,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.988,0.987,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
012,012,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\012\episode.hdf5,1222,1150,0.941,40.7,failure,893322846,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.995,0.995,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
013,013,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\013\episode.hdf5,2047,1990,0.972,68.2,success,159689411,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.987,0.989,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
014,014,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\014\episode.hdf5,2042,1974,0.967,68.033,success,1389562501,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.963,0.962,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
015,015,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\015\episode.hdf5,2460,2369,0.963,81.967,success,2073711813,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.973,0.973,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
016,016,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\016\episode.hdf5,2255,2038,0.904,75.133,success,1609153631,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.556,0.576,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
017,017,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\017\episode.hdf5,3923,2093,0.534,130.733,success,477510672,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.996,0.993,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
018,018,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\018\episode.hdf5,2300,2214,0.963,76.633,success,2087406226,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.983,0.986,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
019,019,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\019\episode.hdf5,1900,1780,0.937,63.3,success,1770952574,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.98,0.979,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
020,020,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\020\episode.hdf5,2352,2244,0.954,78.367,success,687056336,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.972,0.971,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
021,021,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\021\episode.hdf5,2204,2063,0.936,73.433,partial,1798006156,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.965,0.962,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
022,022,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\022\episode.hdf5,1950,1846,0.947,64.967,partial,167322647,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.969,0.967,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
023,023,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\023\episode.hdf5,2069,1961,0.948,68.933,success,1395452544,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.971,0.969,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
024,024,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\024\episode.hdf5,1870,1595,0.853,62.3,success,859840911,1,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.976,0.975,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
025,025,C:/Users/ceti/Documents/05_data/teleop-sorting/avatar\025\episode.hdf5,1682,1631,0.97,56.033,success,1328085481,0,"{""blue"": ""bin_1"", ""red"": ""bin_2""}",True,0.985,0.985,True,"head_cam_left,head_cam_right,wrist_cam_left,wrist_cam_right",True,4,2,30.0,0.25,2,
